Formula,Volume,Density,IDs,Uncorrected EPA,EPA,Formation EPA,Equilibrium Reaction EPA,Atomic Density,Bulk Modulus,Shear Modulus,Sound Velocity,Thermal Conductivity,Debye Temperature (K)
Re8 P4,164.77066714238225,16.26117440299921,mp-1637,-38.23466018166666,-38.23466018166666,-0.293558272658728,-0.04885889104166,13.94801534583268,296.64,183.029,159.6680753483696,1.105660439410016,54466.492175598054
V8 P4,150.90201324437243,5.847870127854195,mp-20541,-13.240465776666667,-13.240465776666667,-0.8467231859920641,-0.007753999074076,12.74351624435198,206.579,103.941,120.34065286223444,1.49763663530756,42271.796412258445
Cr4 P4,95.65654587486888,5.761224018024985,mp-21048,-12.44451068375,-12.44451068375,-0.406801332738094,-0.067169416737804,12.147106729705806,198.838,139.444,186.2455526817814,1.7576035476519611,76158.57454301622
Ce4 Si4,195.57246055007107,5.712566307451835,mp-21115,-20.556326045,-20.556326045,-0.749129367499996,-0.051294396136363,23.274531372051143,69.426,39.155,36.46211509277926,0.598138995578206,11747.472110236544
Mn4 P4,96.14176208646995,5.935398266435196,mp-2662,-12.434807555,-12.434807555,-0.5921020612294731,-0.066081054761905,11.988770706966786,173.538,127.428,155.74506487185872,1.647439580618622,63579.13927258262
Mg4 B16,177.51255307952263,2.52754527205133,mp-365,-6.8837363985,-6.8837363985,-0.1727923235,-0.008416259099999,8.95868679821309,158.697,113.996,138.06804920167832,2.922998344603152,45944.137801631616
Nb8 C4,171.13372737768208,7.678055965063316,mp-569989,-20.34128572333333,-20.34128572333333,-0.536157559999999,-0.083643058666666,14.273749568705972,226.573,118.704,129.83453557996708,1.283239998697519,43733.75122705824
Ti4 Si4,118.09958047739894,4.271720293071917,mp-7092,-11.64112525875,-11.64112525875,-0.785364454583332,-0.044772270416665,14.92719350294735,145.819,99.581,140.90097014656516,1.503702945899015,53707.736895116126
La8 S12,504.1879526114183,4.927142524222895,mp-7475,-19.2266399765,-19.2266399765,-2.508305558187499,-0.222720051944445,25.18174680001953,69.384,32.899,25.38642841210145,0.581151795563669,5965.062356563675
Ti4 B4,84.91330836137911,4.589957139411367,mp-7857,-11.01956919125,-11.01956919125,-0.877513585833332,-0.022480874583331,10.669400759102556,207.405,190.624,290.9683436803166,2.42664042770449,123801.99874352422
Fe2 B2,32.17254362154013,6.88070508070278,mp-1007881,-11.143406615,-11.143406615,-0.26353519625,-0.084454361875,8.046930304826773,251.424,159.067,234.6442295545915,2.264247288662245,137971.15038056954
Zr2 Si2,70.46834914033322,5.622895625063422,mp-11322,-16.7457848125,-16.7457848125,-0.9840065624999992,-0.154851423749999,17.790226780834377,142.355,93.649,151.12796925218302,1.133814253114883,68425.62750316785
Zr2 Si4,100.60594015713824,4.865620373532137,mp-1515,-14.0896099,-14.0896099,-0.6571695349999991,-0.001165160000001,16.866489700249385,126.046,96.722,138.61537412574506,1.262257400115289,55736.865782696615
Ca2 Si2,95.09363506508988,2.38056216374215,mp-1563,-8.507153645,-8.507153645,-0.6011244975000001,-0.101468372142857,23.81215040277029,53.572,38.383,65.05620334546481,0.907539600838661,26654.916594905382
Re6 B2,99.23564323918896,19.056944707138097,mp-15671,-41.35745210125,-41.35745210125,-0.212902521249993,-0.044652830312493,12.622826649182734,365.183,290.218,297.98489856131744,1.343210621380627,120367.7052659232
Ba2 Si2,127.64995758408938,4.303548922948729,mp-2499,-18.10267352,-18.10267352,-0.465998430000002,-0.033338920999998,31.91337221194522,32.012,20.384,21.568707735675403,0.408740242630674,8011.042570596281
Nb2 B2,46.18050081799542,7.458852050773307,mp-2580,-16.8494188125,-16.8494188125,-0.8092043887500001,-0.050231443125003,11.577010366331878,263.884,198.028,332.4160654434955,1.876006896570276,173274.9382580956
Sr2 Si2,110.84004823896268,3.466860693252278,mp-2661,-12.48655995,-12.48655995,-0.5268471175,-0.106451185833332,27.78485511096877,44.145,30.984,41.49374046551293,0.6111508652651431,16154.33225617729
La4 Si4,205.83916404200252,5.388576680874278,mp-7083,-20.0737944475,-20.0737944475,-0.814522047499998,-0.051403630328945,25.58386175198531,65.047,45.062,45.16573856893943,0.622768848066764,14305.575116555776
V4 B6,82.55917414505953,5.403081314480556,mp-9208,-10.876815063,-10.876815063,-0.833172252499998,-0.002917794999998,8.349306341276563,279.124,240.168,332.1973794633156,2.98773001900892,142675.02121030426
Sc2 Si2,72.55620702390091,3.343287176936586,mp-9969,-10.944522875,-10.944522875,-0.8583968999999999,-0.2201650495,18.17275266101429,101.131,70.078,125.02909203861692,1.243139173064154,56060.68561006551
Y2 Si2,86.83003973204961,4.474688897994083,mp-9972,-15.441911085,-15.441911085,-0.8982283075,-0.270864792499999,21.76058831180675,89.203,65.637,101.86928427747428,0.917197158002734,43022.11161733521
V2 B2,35.98634054403453,5.698964512827119,mp-9973,-11.617777255,-11.617777255,-0.8998122912500001,-0.055556859999999,9.103183482431737,268.991,231.992,427.60508742199096,2.69908326419698,242216.00783511854
Fe8 Si16,292.7460250559445,5.083093970170116,mp-1714,-10.93526543875,-10.93526543875,-0.281626162083334,-0.099684081250002,12.505491019195196,182.055,128.034,123.19853624332468,1.7661561078379,34698.80667626427
K4 O4,150.31618493159573,2.434651557961469,mp-2672,-7.19174728875,-7.19174728875,-1.196348494999999,-0.129495315,19.763924724534835,32.413,16.455,16.063404271506403,0.701770717597873,5649.918915339029
V5 B6,95.2502780590162,5.571262288732751,mp-1206441,-11.286286438181818,-11.286286438181818,-0.874831544090908,-0.000418628181819,8.760315650408723,277.143,232.744,309.6611773342812,2.813187548477948,126805.36546231594
Sc8 S12,428.62771743663023,2.883972638006616,mp-401,-11.551451251,-11.551451251,-2.171633972687499,-0.511404185562499,21.53214987904612,55.932,37.408,33.422872612669416,0.8774661889521811,8290.230185247658
K8 P12,574.7815911954908,1.977432398299312,mp-569857,-8.3585340175,-8.3585340175,-0.549982655785713,-0.0701860140625,29.758842660210387,16.217,9.422,6.279731161470027,0.440442817143612,1412.46612131418
Ti3 B4,67.90256865024195,4.569244264241126,mp-1025170,-10.719849931428572,-10.719849931428572,-0.977180241428572,-0.004500465000001,9.746767212705793,224.584,217.798,355.4748010488356,2.743031505764868,162950.07044279593
Nb3 B4,74.06841806132483,7.21808817733236,mp-10255,-15.58797522,-15.58797522,-0.789740828571429,-0.004467587142858,10.613541938069304,274.679,196.187,273.6688059913495,2.021427056260166,121867.51441002125
Li2 C2,45.96833740475323,1.369204981044064,mp-1378,-6.2668513575,-6.2668513575,-0.099880555833332,-0.087277780972222,11.849205336805896,40.769,30.156,47.926481692769485,1.708452443486851,25020.692836524486
V3 B4,59.24134319507657,5.4958140189771925,mp-569270,-11.09620527,-11.09620527,-0.8598989871428571,-0.00490520095238,8.560279382699411,278.729,233.825,361.8169911358433,2.883112329925047,173575.01279478258
Mg4 B28,251.90496067954192,2.636296113278452,mp-978275,-7.1071141003125,-7.1071141003125,-0.157891229375,-0.049896027187499,7.9248292429157665,183.359,183.073,203.38023982279668,3.790603746436487,60225.167813297376
Zr24 P8,631.1576961990968,6.412041783260793,mp-22447,-20.2547958978125,-20.2547958978125,-0.9419328910565452,-0.062228294062499,19.8258638589818,125.1,63.867,46.05396845688188,0.8307456589346691,10040.585066601563
