Formula,Volume,Density,Uncorrected EPA,EPA,Formation EPA,Equilibrium Reaction EPA,Atomic Density,Bulk Modulus,Shear Modulus,Sound Velocity,Thermal Conductivity,Debye Temperature,O,N,C,B,Si,Al,Mg,Zr,Ti,Ca,Y,Hf,Fe,Na,K,Ba,Sr,Li,Be,Mn,V,Cr,Nb,Mo,W,Re,Sc,La,Ce,Th,U,Tm,Elements
Al1 Fe2 B2,45.191125152340135,5.889954774161065,-10.367089824,-10.367089824,-0.316773023,-0.076075057354895,9.176691285790293,224.5,133.097,194.60919222997128,2.077457028275327,756.4350585954172,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1349.3464162749501,"['Al', 'Fe', 'B']"
U1 Fe2 B6,78.23508874199833,8.799561060254987,-17.428412816666665,-17.428412816666665,-0.445419584444443,-0.04383318750002,8.704540301696948,201.105,194.582,191.7333228027396,2.011722555567218,746.877686672245,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1723.8038050982,"['U', 'Fe', 'B']"
Sc3 Fe1 C4,89.94236354570275,4.407966166549307,-11.53102879375,-11.53102879375,-0.481304860624998,-0.0071350303749999,11.184313702718068,174.3,121.834,167.8061192636628,1.9644047026691087,772.0653648156884,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1281.2028779558,"['Sc', 'Fe', 'C']"
Hf1 Nb1 B4,57.5117921791772,9.084617673225669,-17.445651961666666,-17.445651961666666,-0.900500823333336,-0.005455588333333,9.650674062331673,268.54,221.748,285.3232683275013,2.014818378908541,763.4121613288702,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1890.5753765272,"['Hf', 'Nb', 'B']"
Th2 Mn1 N3,87.36786188844806,10.663180898541556,-33.11261077333334,-33.11261077333334,-1.60925894178879,-0.025926658706858,14.48747964784766,197.985,101.138,110.36778177301018,0.9940824978090312,418.09939396980457,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1156.3514722742,"['Th', 'Mn', 'N']"
Mg2 B24 C4,217.5951008007281,2.717643261832074,-7.675487978666666,-7.675487978666666,-0.194153023,-0.037463033885422,7.293214238878641,228.181,213.484,254.84618433393555,4.292511986689315,1497.6543126261288,0,0,4,24,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1839.7569200408002,"['Mg', 'B', 'C']"
Na4 U1 O5,128.71659519848131,5.28910889643743,-14.984209494999998,-14.984209494999998,-2.578066778874998,-0.138931692666663,13.689556840917056,46.607,31.019,20.91287151273841,0.8213966888757681,344.19304313254656,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,736.8514880985499,"['Na', 'U', 'O']"
Li4 U1 O5,98.449544217735,5.832405418997285,-14.708352435,-14.708352435,-2.773199381541667,-0.022821328125003,10.258682237539512,85.449,52.804,40.66350081461089,1.232449425064372,466.8907321240908,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,866.6051843288,"['Li', 'U', 'O']"
K2 Re2 O8,202.30276486447852,4.749305018383432,-15.703416243333336,-15.703416243333336,-1.983580701875001,-0.41671346683333,18.29837389243385,18.263,11.252,5.346580937824104,0.437611336232995,201.0157455276737,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,619.5689541272,"['K', 'Re', 'O']"
Na2 Re2 O8,164.11433644427078,5.528461844677977,-15.226534805833332,-15.226534805833332,-1.9157131587499991,-0.214650001504626,14.925226466465938,21.527,10.392,4.608507906296525,0.45621416802442,193.2632130638163,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,614.4761165151999,"['Na', 'Re', 'O']"
Ba4 Ti2 Si4 O16,384.01204802386815,4.382018197873762,-13.367234139230767,-13.367234139230767,-3.269947478974359,-0.02214231205129,15.228080954433134,81.257,35.951,25.252882572024557,0.919405895668954,390.57048113098256,16,0,0,0,4,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766.18127092055,"['Ba', 'Ti', 'Si', 'O']"
Ca1 Mg1 C2 O6,106.69113680120178,2.8700109673651357,-9.008412522,-9.008412522,-2.31468556475,-0.0060902,11.027699860407974,88.959,41.324,46.15063056079103,1.507438145344112,576.2885202820135,6,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798.1640601368,"['Ca', 'Mg', 'C', 'O']"
Y8 Si16 C4 N24,607.0759860489561,4.225552264522644,-12.246793687884615,-12.246793687884615,-1.443562955769231,-0.035159891174089,11.90644531339737,167.246,102.676,77.99496028531846,1.80967598450484,720.1752086205528,0,24,4,0,16,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165.6134585368002,"['Y', 'Si', 'C', 'N']"
K2 Ca1 C2 O6,150.23687544195832,2.633799717031404,-8.961966188181817,-8.961966188181817,-2.161557655454544,-0.02530557431818,14.399051752629576,46.261,21.788,19.8100662361438,0.9650641419710152,403.5007617061702,6,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682.0281743191999,"['K', 'Ca', 'C', 'O']"
